bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
176,121322.725124,0,0,1.065944481e-3,1.850162883e-4,-0.96862998,0.96862998,3.353734,10.89242766
177,121801.552763,1,1,5.327790676e-5,9.133782189e-3,0.88051898,0.88051898,-1.155624,10.89242766
178,122281.534101,1,1,6.403637236e-5,1.075067304e-2,0.87814460,0.87814460,0.000000,10.89242766
179,122762.503134,0,0,1.672818092e-3,7.716273369e-4,-0.91874475,0.91874475,0.986053,10.89242766
180,123236.594143,1,1,1.207440994e-4,7.451432996e-3,0.69995392,0.69995392,-5.883809,10.89242766
181,123716.559155,1,1,1.258472630e-5,1.143808532e-2,0.97631511,0.97631511,0.000000,10.89242766
182,124195.445717,0,0,1.583400192e-3,5.814754923e-4,-0.93477029,0.93477029,-1.076655,10.89242766
183,124675.407140,0,0,1.103533697e-3,2.843003555e-4,-0.95378906,0.95378906,0.000000,10.89242766
184,125155.368563,0,0,4.379563015e-4,1.808822350e-4,-0.92693530,0.92693530,0.000000,10.89242766
185,125626.653844,1,1,9.922333506e-5,8.745802020e-3,0.78002877,0.78002877,-8.661705,10.89242766
186,126106.586394,1,1,5.021755360e-6,1.166841690e-2,0.99066816,0.99066816,0.000000,10.89242766
187,126594.599336,0,0,9.192699408e-4,7.103220454e-4,-0.86751929,0.86751929,8.066947,10.89242766
188,127064.385713,1,1,3.281983984e-5,8.289001709e-3,0.91731032,0.91731032,-10.156137,10.89242766
189,127544.311300,1,1,4.732951012e-5,1.095236170e-2,0.91009104,0.91009104,0.000000,10.89242766
190,128028.239165,0,0,1.363899323e-3,6.653995222e-4,-0.91426134,0.91426134,3.995620,10.89242766
191,128508.178070,0,0,1.180419732e-3,2.584277672e-4,-0.96059370,0.96059370,0.000000,10.89242766
192,128988.116976,0,0,5.261529162e-4,1.079519362e-4,-0.96302405,0.96302405,0.000000,10.89242766
193,129462.581923,1,1,9.702688511e-5,7.942933933e-3,0.76513717,0.76513717,-5.464850,10.89242766
194,129942.502612,1,1,3.506499838e-5,1.080931964e-2,0.93174265,0.93174265,0.000000,10.89242766
195,130431.282199,0,0,1.162094664e-3,7.330916608e-4,-0.89051081,0.89051081,8.844158,10.89242766
196,130906.161913,1,1,7.356211265e-5,7.650653002e-3,0.81039345,0.81039345,-5.062019,10.89242766
197,131386.095209,1,1,7.467622025e-5,1.149748331e-2,0.86785595,0.86785595,0.000000,10.89242766
198,131866.028506,1,1,2.048126957e-6,1.257113028e-2,0.99645703,0.99645703,0.000000,10.89242766
199,132345.961802,1,1,5.179330865e-6,1.392792838e-2,0.99193162,0.99193162,0.000000,10.89242766
200,132831.803032,0,0,1.235077224e-3,6.122728755e-4,-0.91293829,0.91293829,5.898104,10.89242766
201,133311.755989,0,0,4.141341332e-4,3.679634439e-5,-0.98381768,0.98381768,0.000000,10.89242766
202,133782.639009,1,1,7.654578396e-5,8.136869966e-3,0.81411149,0.81411149,-9.054845,10.89242766
203,134272.401042,0,0,7.255926508e-4,2.775076968e-4,-0.93215778,0.93215778,9.822888,10.89242766
204,134752.356559,0,0,7.223307343e-4,3.334813499e-4,-0.91867713,0.91867713,0.000000,10.89242766
205,135232.312076,0,0,4.299123377e-4,9.292459775e-5,-0.96108452,0.96108452,0.000000,10.89242766
206,135712.267592,0,0,5.501622637e-4,5.805642508e-5,-0.98080988,0.98080988,0.000000,10.89242766
207,136192.223109,0,0,5.063946514e-4,5.423484858e-5,-0.98052644,0.98052644,0.000000,10.89242766
208,136672.178626,0,0,5.166394179e-4,2.571818183e-5,-0.99090133,0.99090133,0.000000,10.89242766
209,137149.472471,1,1,9.847884666e-5,6.787340395e-3,0.72705552,0.72705552,-2.657243,10.89242766
210,137629.419130,0,0,3.267975998e-4,4.177875446e-4,-0.78991963,0.78991963,0.000000,10.89242766
211,138099.902215,1,1,3.611433731e-5,6.649867905e-3,0.88829778,0.88829778,-9.447829,10.89242766
212,138591.520862,0,0,5.929964786e-4,4.573913191e-5,-0.98593704,0.98593704,11.684007,10.89242766
213,139071.474975,0,0,8.097658188e-4,1.424941098e-4,-0.96820325,0.96820325,0.000000,10.89242766
214,139544.427766,1,1,7.419144585e-5,7.381427535e-3,0.80264490,0.80264490,-6.989673,10.89242766
215,140024.358580,1,1,1.129289462e-6,1.214822111e-2,0.99797694,0.99797694,0.000000,10.89242766
216,140510.688479,0,0,1.045164993e-3,5.242382295e-4,-0.91195653,0.91195653,6.388437,10.89242766
217,140983.119063,1,1,3.205667697e-5,8.570397187e-3,0.92170588,0.92170588,-7.509009,10.89242766
218,141463.046142,1,1,8.646628900e-5,1.071556559e-2,0.83841537,0.83841537,0.000000,10.89242766
219,141950.037860,0,0,9.207794497e-4,7.422444489e-4,-0.86218707,0.86218707,7.052884,10.89242766
220,142421.953862,1,1,5.464886776e-5,7.722208747e-3,0.85686537,0.85686537,-8.021218,10.89242766
221,142901.877714,1,1,1.345115196e-6,1.156946712e-2,0.99747040,0.99747040,0.000000,10.89242766
222,143381.801565,1,1,4.895111575e-7,1.450167778e-2,0.99926491,0.99926491,0.000000,10.89242766
