bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
149,94874.267406,0,0,1.733101512e-2,4.323129892e-8,-0.99999850,0.99999850,0.000000,3.33375007
150,95354.205592,0,0,1.821824986e-2,5.079766987e-7,-0.99998327,0.99998327,0.000000,3.33375007
151,95834.143779,0,0,1.722774985e-2,1.459490397e-6,-0.99994918,0.99994918,0.000000,3.33375007
152,96314.081965,0,0,1.827297145e-2,8.702690265e-7,-0.99997143,0.99997143,0.000000,3.33375007
153,96794.020151,0,0,1.673342683e-2,1.216400228e-6,-0.99995639,0.99995639,0.000000,3.33375007
154,97273.958338,0,0,1.385264758e-2,6.424814205e-7,-0.99997218,0.99997218,0.000000,3.33375007
155,97755.240199,1,1,2.052653748e-4,3.710039727e-2,0.96377881,0.96377881,1.341439,3.33375007
156,98232.316561,0,0,1.266285458e-2,7.025589114e-4,-0.96725991,0.96725991,-2.861526,3.33375007
157,98712.249681,0,0,1.292796946e-2,4.983349212e-5,-0.99769014,0.99769014,0.000000,3.33375007
158,99192.182800,0,0,1.497781057e-2,1.006645463e-5,-0.99959688,0.99959688,0.000000,3.33375007
159,99675.382766,1,1,1.259139026e-4,4.753333330e-2,0.98249267,0.98249267,3.261411,3.33375007
160,100155.425493,0,0,1.514464870e-2,8.016791070e-4,-0.96873945,0.96873945,0.098572,3.33375007
161,100638.352627,1,1,2.949476690e-4,5.117454424e-2,0.96229591,0.96229591,2.977852,3.33375007
162,101116.921597,0,0,1.912369059e-2,1.086232101e-3,-0.96649492,0.96649492,-1.382971,3.33375007
163,101596.871233,0,0,2.281327397e-2,3.135093151e-4,-0.99178943,0.99178943,0.000000,3.33375007
164,102081.517193,1,1,3.955721483e-4,5.235985498e-2,0.95086538,0.95086538,4.688510,3.33375007
165,102559.000399,0,0,2.644262650e-2,6.915106341e-4,-0.98443326,0.98443326,-2.477928,3.33375007
166,103038.957403,0,0,2.219624237e-2,2.960455774e-4,-0.99203030,0.99203030,0.000000,3.33375007
167,103518.914407,0,0,3.019669759e-2,2.790364328e-5,-0.99944579,0.99944579,0.000000,3.33375007
168,103998.871411,0,0,2.279539996e-2,7.606502719e-5,-0.99800014,0.99800014,0.000000,3.33375007
169,104482.344172,1,1,3.782894805e-4,4.842611259e-2,0.94923756,0.94923756,3.509907,3.33375007
170,104962.312876,1,1,5.259202644e-4,5.188168280e-2,0.93462151,0.93462151,0.000000,3.33375007
171,105434.711040,0,0,2.527624080e-2,7.329810792e-4,-0.98275291,0.98275291,-7.557943,3.33375007
172,105914.654551,0,0,2.622431375e-2,2.073426801e-4,-0.99526791,0.99526791,0.000000,3.33375007
173,106400.460640,1,1,5.662247835e-4,5.514781908e-2,0.93380779,0.93380779,5.852824,3.33375007
174,106879.379437,0,0,1.896507230e-2,8.527069540e-4,-0.97338514,0.97338514,-1.042486,3.33375007
175,107362.476297,1,1,1.926146364e-4,6.282195778e-2,0.97976402,0.97976402,3.132095,3.33375007
