bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction
256,185163.603898,0,0,2.047310154e-3,9.937617637e-5,-0.90276595,0.90276595,0.000000
257,185642.419265,1,1,3.909418238e-5,1.014247741e-3,0.92936058,0.92936058,-1.442890
258,186122.675119,1,1,4.623350825e-5,1.617844773e-3,0.94714525,0.94714525,0.000000
259,186602.930972,0,0,1.886986539e-3,5.829844389e-4,-0.50914477,0.50914477,0.000000
260,187083.186825,1,1,1.502571287e-5,1.207306149e-3,0.97663266,0.97663266,0.000000
261,187563.442678,0,0,1.940494823e-3,8.663548913e-4,-0.36052434,0.36052434,0.000000
262,188043.698531,0,0,1.709288026e-3,1.103180162e-4,-0.87275341,0.87275341,0.000000
263,188523.190302,1,1,3.190397747e-5,6.624379298e-4,0.91250796,0.91250796,-0.762811
264,189003.443613,0,0,3.111937902e-3,6.889107023e-4,-0.62198206,0.62198206,0.000000
265,189477.476054,1,1,8.361902461e-6,1.230781844e-3,0.98717593,0.98717593,-6.210518
266,189957.708663,1,1,3.148568821e-6,1.555249568e-3,0.99616139,0.99616139,0.000000
267,190437.941272,0,0,1.669841784e-3,5.521806967e-4,-0.48353751,0.48353751,0.000000
268,190918.173880,1,1,2.369144316e-5,9.963437030e-4,0.95582486,0.95582486,0.000000
269,191398.406489,1,1,1.472829726e-5,1.428100894e-3,0.98059760,0.98059760,0.000000
270,191878.639098,1,1,1.469619105e-5,1.473091031e-3,0.98122523,0.98122523,0.000000
271,192364.461689,0,0,2.308423743e-3,5.346414595e-4,-0.60794090,0.60794090,5.580681
272,192844.712900,0,0,2.435358640e-3,1.590793845e-4,-0.87131381,0.87131381,0.000000
273,193328.197290,1,1,2.665203522e-5,6.741533647e-4,0.92761355,0.92761355,3.227800
274,193808.459261,1,1,8.916641149e-6,1.269547306e-3,0.98674559,0.98674559,0.000000
275,194286.094562,0,0,2.019966702e-3,4.384008371e-4,-0.62801884,0.62801884,-2.622298
276,194760.882824,1,1,8.100503992e-6,1.012923491e-3,0.98492197,0.98492197,-5.455875
